Numero do alimento,Descrição do alimento,Umidade (%),Energia (Kcal),Proteina (g),Carboidrato (g),Categoria do alimento
1,"Arroz, integral, cozido",70.1,124,2.6,25.8,Cereais e derivados
8,"Biscoito, doce, maisena",3.2,443,8.1,75.2,Cereais e derivados
14,"Bolo, mistura, para",1.0,419,6.2,84.7,Cereais e derivados
19,"Canjica, branca, crua",13.6,358,7.2,78.1,Cereais e derivados
27,"Creme de arroz, pó",7.3,386,7.0,83.9,Cereais e derivados
21,"Cereais, milho flocos, com sal",9.3,370,7.2,80.8,Cereais e derivados
29,"Cacau, milho verde, mistura para",3.9,402,2.2,79.8,Cereais e derivados
31,"Farinha de arroz, enriquecida",12.7,363,1.3,85.5,Cereais e derivados
25,"Cereal matinal, milho",5.5,365,7.2,83.8,Cereais e derivados
30,"Curau, milho verde, mistura para",3.9,402,2.2,79.8,Cereais e derivados
64,"Abobora, cabotian, cozida",86.4,48,1.4,10.8,"Verduras, hortaliças e derivados"
70,"Abobrinha, italiana, cozida",95.3,15,1.1,3.0,"Verduras, hortaliças e derivados"
74,"Alcega, crua",93.2,21,1.4,4.6,"Verduras, hortaliças e derivados"
88,"Batata, doce, cozida",80.4,77,0.6,18.4,"Verduras, hortaliças e derivados"
92,"Batata, inglesa, crua",82.9,64,1.8,14.7,"Verduras, hortaliças e derivados"
77,"Alface, americana, crua",97.2,9,0.6,1.7,"Verduras, hortaliças e derivados"
80,"Alface, roxa, crua",95.7,13,0.9,2.5,"Verduras, hortaliças e derivados"
69,"Abobora, pescoço, crua",92.5,24,0.7,6.1,"Verduras, hortaliças e derivados"
86,"Batata, baroa, cozida",79.3,80,0.9,18.9,"Verduras, hortaliças e derivados"
75,"Agriao, cru",93.9,17,2.7,2.3,"Verduras, hortaliças e derivados"
163,"Abacate, cru",83.8,96,1.2,6.0,Frutas e derivados
166,"Abiu, cru",83.1,62,0.8,14.9,Frutas e derivados
170,"Acerola, polpa, congelada",93.6,22,0.6,5.5,Frutas e derivados
172,"Ameixa, crua",84.8,53,0.8,13.9,Frutas e derivados
177,"Banana, figo, crua",70.1,105,1.1,27.8,Frutas e derivados
184,"Caja-manga, cru",86.9,46,1.3,11.4,Frutas e derivados
187,"Caju, polpa, congelada",89.8,37,0.5,9.4,Frutas e derivados
173,"Ameixa, em calda, enlatada, drenada",50.3,177,1.0,47.7,Frutas e derivados
182,"Banana, prata, crua",71.9,98,1.3,26.0,Frutas e derivados
175,"Banana, da terra, crua",63.9,128,1.4,33.7,Frutas e derivados
259,"Azeite, de dende",NA,884,NA,NA,Gorduras e oleos
262,"Manteiga, sem sal",13.6,758,0.4,0.0,Gorduras e oleos
265,"Margarina, com oleo interesterificado, com sal (65% de lipideos)",32.0,594,Tr,0.0,Gorduras e oleos
267,"Oleo, de babaçu",NA,884,NA,NA,Gorduras e oleos
270,"Oleo, de milho",NA,884,NA,NA,Gorduras e oleos
260,"Azeite, de olivia, extra virgem",NA,884,NA,NA,Gorduras e oleos
272,"Oleo, de soja",NA,884,NA,NA,Gorduras e oleos
263,"Margarina, com oleo hidrogenado, com sal (65% de lipideos)",32.2,596,Tr,0.0,Gorduras e oleos
268,"Oleo, de canola",NA,884,NA,NA,Gorduras e oleos
266,"Margarina, com oleo interesterificado, sem sal (65% de lipideos)",33.4,593,Tr,0.0,Gorduras e oleos
